Sexo,Edad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Mujeres,0,32801,33525,34203,34786,35248,35587,35755,35808,35871,35964,36004,35907,35750,35590,35416,35231,35033,34830,34628,34398,34791,35851,36879,37839,38735,39524,39903,39935,39953,39990,40244,40669,41072,41497,41964,42412,42619,42675,42814,42964,43127,43444,43836,44202,44558,44820
Mujeres,1,31341,32198,33029,33800,34476,35033,35468,35734,35898,36083,36195,36133,36001,35876,35730,35565,35383,35186,34985,34773,35080,35947,36853,37718,38498,39229,39634,39687,39669,39665,39937,40450,40966,41469,41996,42590,42894,42887,42932,43030,43159,43438,43815,44199,44594,44939
Mujeres,2,30391,31313,32239,33131,33969,34717,35347,35855,36196,36436,36580,36525,36381,36255,36127,35976,35807,35621,35423,35223,35479,36165,36872,37623,38321,38952,39378,39531,39534,39485,39710,40227,40795,41369,41927,42535,42928,43001,43018,43061,43197,43473,43823,44184,44570,44943
Mujeres,3,29521,30471,31452,32426,33371,34263,35068,35755,36322,36722,36898,36851,36705,36574,36454,36330,36185,36020,35842,35653,35848,36411,36946,37505,38101,38661,39059,39300,39405,39372,39546,40007,40555,41155,41754,42360,42741,42903,43022,43061,43166,43461,43819,44154,44510,44874
Mujeres,4,28693,29645,30644,31664,32681,33672,34612,35464,36200,36815,37139,37111,36971,36844,36728,36621,36511,36380,36230,36068,36201,36633,37055,37451,37866,38335,38728,39002,39195,39260,39445,39851,40326,40886,41488,42110,42484,42645,42864,43019,43125,43389,43776,44122,44453,44793
Mujeres,5,27898,28843,29835,30866,31924,32981,34011,34992,35886,36663,37195,37310,37190,37075,36970,36874,36788,36700,36590,36462,36551,36853,37155,37448,37711,38010,38369,38690,38915,39066,39346,39759,40164,40635,41179,41784,42183,42357,42580,42842,43060,43322,43688,44069,44414,44737
Mujeres,6,27125,28070,29050,30068,31132,32224,33315,34381,35398,36328,37019,37345,37372,37280,37191,37111,37041,36983,36921,36836,36890,37084,37267,37450,37624,37782,38020,38352,38626,38807,39169,39672,40074,40463,40904,41437,41838,42065,42303,42571,42883,43250,43625,43989,44373,44717
Mujeres,7,26363,27311,28287,29289,30336,31429,32551,33674,34773,35822,36669,37161,37403,37461,37399,37340,37291,37252,37223,37189,37222,37321,37406,37482,37558,37638,37778,38026,38310,38538,38926,39505,39990,40369,40720,41140,41497,41757,42046,42330,42633,43085,43573,43949,44320,44709
Mujeres,8,25602,26560,27534,28530,29557,30629,31749,32899,34051,35178,36147,36806,37221,37497,37588,37558,37532,37516,37509,37511,37534,37556,37559,37550,37532,37526,37624,37805,38006,38244,38672,39269,39825,40279,40612,40933,41208,41457,41780,42115,42418,42851,43432,43924,44310,44690
Mujeres,9,24820,25799,26780,27773,28789,29837,30932,32076,33252,34428,35480,36275,36864,37315,37627,37753,37759,37768,37786,37812,37816,37779,37720,37643,37555,37468,37511,37672,37807,37961,38390,39018,39586,40105,40507,40802,41011,41213,41523,41890,42230,42655,43225,43814,44319,44716
Mujeres,10,24005,25011,26010,27006,28015,29050,30118,31232,32397,33594,34700,35593,36329,36956,37446,37797,37961,38006,38052,38106,38088,37991,37890,37766,37627,37487,37471,37591,37705,37791,38124,38741,39334,39858,40317,40673,40890,41063,41321,41673,42032,42488,43058,43640,44245,44766
Mujeres,11,23163,24196,25220,26231,27241,28266,29316,30399,31531,32713,33845,34810,35653,36427,37094,37624,38014,38219,38301,38385,38353,38202,38060,37913,37747,37574,37519,37585,37656,37720,37973,38482,39061,39607,40067,40475,40790,41006,41225,41516,41845,42318,42929,43515,44116,44741
