Sexo ,Edad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Hombres,20,0.00369213,0.0028737,0.00281981,0.00280584,0.00277783,0.00273732,0.00275689,0.00276004,0.00271538,0.00271938,0.00271883,0.00263912,0.00255503,0.00241425,0.00230074,0.00223454,0.00210477,0.00204767,0.00206459,0.00204566,0.00199168,0.00191568,0.00187842,0.00184911,0.00182048,0.00180455,0.00173286,0.00166573,0.00159021,0.00148858,0.00137632,0.00131319,0.00129997,0.00130773,0.00129828,0.0013572,0.00139266,0.00148513,0.00160858,0.00171212,0.00177203,0.00174733,0.00168601,0.00165462,0.00161322,0.00157032
Hombres,21,0.00394892,0.00314003,0.00308114,0.00306745,0.00303952,0.00299875,0.0030278,0.0030351,0.00299189,0.00299872,0.00299955,0.00291372,0.00281974,0.00266567,0.00253891,0.00246561,0.00232153,0.00225579,0.00227438,0.00225191,0.00219249,0.00211013,0.00206956,0.00203689,0.002007,0.00199025,0.00191158,0.00183576,0.00175099,0.00163721,0.00151297,0.00144376,0.00142741,0.00143473,0.00142491,0.00148936,0.00152899,0.00163286,0.0017702,0.00188575,0.00195484,0.00193007,0.00186522,0.00183135,0.001786,0.0017388
Hombres,22,0.00419917,0.00340334,0.00333934,0.00332349,0.00329281,0.00325372,0.00328816,0.00330269,0.00325655,0.00326738,0.00327125,0.00317577,0.00307535,0.00290782,0.00276872,0.00268721,0.00252907,0.00245625,0.00247418,0.00244841,0.00238435,0.00229512,0.00225209,0.00221747,0.00218407,0.00216734,0.00208134,0.0019968,0.00190299,0.00177734,0.00164163,0.00156476,0.00154587,0.0015531,0.00154077,0.00161174,0.00165565,0.00176878,0.00191883,0.00204596,0.00212356,0.00209928,0.0020306,0.00199404,0.00194552,0.00189491
Hombres,23,0.00444509,0.00365967,0.00358721,0.00356861,0.00353718,0.00349481,0.00353507,0.00355521,0.0035087,0.00352137,0.00352613,0.00342531,0.0033166,0.0031343,0.0029845,0.00289604,0.0027238,0.0026445,0.00266077,0.00263309,0.0025636,0.00246864,0.00242279,0.00238601,0.00235199,0.00233313,0.00223895,0.00214766,0.00204357,0.00190604,0.00175891,0.00167482,0.00165406,0.00165965,0.00164618,0.00172162,0.00177,0.00189209,0.00205397,0.00219162,0.00227546,0.00225158,0.00217867,0.00214059,0.00208897,0.00203764
Hombres,24,0.00468309,0.0039074,0.00382503,0.00380346,0.003768,0.00372392,0.00376729,0.00379141,0.00374261,0.0037582,0.00376353,0.00365806,0.00354043,0.00334635,0.00318476,0.00308972,0.00290424,0.0028173,0.00283398,0.0028032,0.00272985,0.00262856,0.00258115,0.00254317,0.00250585,0.00248557,0.00238549,0.0022854,0.00217199,0.00202356,0.0018648,0.00177447,0.00175112,0.00175555,0.00174045,0.00182066,0.00187268,0.00200215,0.00217381,0.00231887,0.00240991,0.00238518,0.00230879,0.00226972,0.00221564,0.00216406
Hombres,25,0.00490896,0.00414493,0.00405283,0.00402307,0.00398176,0.0039347,0.00398303,0.00400804,0.00396112,0.00397616,0.00398286,0.00387013,0.00374774,0.00354121,0.00336945,0.00326712,0.00306976,0.00297638,0.00299244,0.00295745,0.00288063,0.00277474,0.00272655,0.00268604,0.00264771,0.00262591,0.00251914,0.00241136,0.00228913,0.00212952,0.00196006,0.00186325,0.00183696,0.00184046,0.00182425,0.0019073,0.00196224,0.00209834,0.00227736,0.00243005,0.00252614,0.00250028,0.00242128,0.00237987,0.00232579,0.00227596
Hombres,26,0.00512844,0.00437044,0.00426661,0.00423148,0.00418502,0.00413173,0.00418253,0.00421003,0.00415916,0.00417577,0.00418252,0.0040665,0.00393667,0.00372003,0.00353585,0.00342998,0.00322107,0.00312146,0.00313528,0.00309912,0.00301789,0.00290919,0.00285902,0.00281671,0.00277602,0.00275369,0.00264124,0.00252625,0.00239408,0.00222496,0.00204565,0.00194237,0.00191379,0.0019158,0.00189763,0.00198478,0.00204186,0.00218383,0.00236832,0.00252635,0.00262556,0.00259828,0.00251643,0.00247438,0.00242091,0.00237253
Hombres,27,0.00534357,0.00458285,0.00446717,0.00442485,0.00437376,0.00431564,0.00436681,0.00439365,0.00433949,0.00435609,0.00436501,0.00424403,0.00410871,0.00388106,0.00368873,0.00357583,0.0033585,0.00325346,0.00326699,0.00322607,0.00314371,0.00303142,0.00297945,0.00293687,0.00289446,0.00287028,0.00275158,0.00263043,0.00249017,0.00231157,0.00212284,0.00201417,0.00198331,0.00198421,0.00196475,0.00205355,0.00211289,0.00225719,0.00244747,0.00260911,0.00271042,0.00268195,0.00259586,0.00255376,0.00250075,0.00245739
Hombres,28,0.00554669,0.00478627,0.00465988,0.00461004,0.0045495,0.0044871,0.00453878,0.00456321,0.00450692,0.00452282,0.00453189,0.00440537,0.00426686,0.00402998,0.00382846,0.0037112,0.00348483,0.00337278,0.00338558,0.00334305,0.00325766,0.00314362,0.00309186,0.00304766,0.00300353,0.00297809,0.00285434,0.00272643,0.00257917,0.00239155,0.0021946,0.00208124,0.00204706,0.00204668,0.00202506,0.00211572,0.00217599,0.00232344,0.00251692,0.00268138,0.00278316,0.00275375,0.00266363,0.00262093,0.00257097,0.00253161
Hombres,29,0.00574988,0.00498388,0.00484337,0.00478411,0.00471651,0.00464787,0.00469798,0.00472081,0.00465971,0.00467507,0.00468497,0.0045545,0.00441012,0.00416613,0.00395742,0.00383503,0.00360003,0.00348407,0.00349652,0.00345311,0.0033648,0.00324705,0.00319574,0.00315037,0.00310451,0.0030792,0.00295095,0.00281746,0.00266261,0.00246689,0.00226201,0.00214424,0.0021076,0.00210608,0.00208322,0.00217569,0.00223478,0.00238476,0.00257941,0.00274528,0.0028469,0.00281519,0.00272134,0.00267918,0.00263183,0.00259812
Hombres,30,0.00594656,0.00517294,0.00502013,0.00495462,0.0048781,0.00479979,0.00484913,0.0048706,0.00480293,0.00481893,0.00482678,0.00469366,0.00454721,0.00429318,0.00407921,0.00395174,0.00370858,0.0035893,0.00359959,0.00355538,0.00346488,0.0033469,0.00329561,0.0032491,0.00320184,0.00317511,0.00304222,0.00290512,0.00274517,0.00254192,0.00232854,0.00220552,0.00216685,0.00216505,0.0021398,0.002234,0.00229265,0.00244252,0.00263857,0.0028037,0.00290629,0.00287078,0.0027741,0.00273258,0.00268792,0.00266047
Hombres,31,0.00614568,0.00536224,0.00519496,0.00512144,0.00503622,0.00494921,0.00499423,0.00501227,0.0049406,0.00495636,0.00496456,0.0048288,0.00467626,0.00441588,0.0041937,0.0040631,0.00381546,0.00369158,0.00370032,0.0036548,0.00356392,0.00344478,0.00339373,0.00334719,0.00329847,0.00327057,0.00313433,0.00299195,0.00282596,0.00261622,0.00239748,0.00226988,0.00222843,0.00222561,0.0021987,0.00229272,0.00235041,0.0025003,0.00269592,0.00286163,0.00296189,0.00292403,0.0028244,0.00278206,0.0027414,0.00272152
Hombres,32,0.00634943,0.00554763,0.00536708,0.00528639,0.00519343,0.0051013,0.00514003,0.00515353,0.00507823,0.00509105,0.00509638,0.0049579,0.00480408,0.00453461,0.0043082,0.00417359,0.00391882,0.00379218,0.00380196,0.00375559,0.0036638,0.00354354,0.00349178,0.00344364,0.00339459,0.0033671,0.00322773,0.00308137,0.0029105,0.00269451,0.00246856,0.00233697,0.00229482,0.00229032,0.00226199,0.00235579,0.00241284,0.00256081,0.00275642,0.00292077,0.00302008,0.00297819,0.00287479,0.00283367,0.00279677,0.00278363
Hombres,33,0.00655235,0.00573881,0.00554606,0.00545617,0.00535569,0.00525279,0.00528878,0.00529862,0.00521576,0.00522581,0.00523074,0.00508852,0.0049314,0.00465819,0.00442332,0.00428652,0.00402568,0.00389546,0.00390627,0.0038595,0.00376527,0.00364335,0.0035927,0.00354538,0.00349598,0.00346834,0.00332565,0.00317706,0.00300104,0.00277991,0.00254681,0.00241056,0.00236701,0.00236168,0.00233113,0.00242547,0.00247905,0.00262686,0.00282125,0.00298375,0.00308143,0.00303603,0.00292855,0.00288788,0.00285579,0.00285038
Hombres,34,0.00676877,0.0059345,0.00573122,0.00563354,0.00552374,0.00540964,0.00544295,0.00544722,0.00535742,0.0053662,0.00537108,0.0052249,0.00506569,0.00478222,0.00454431,0.00440518,0.00413751,0.00400473,0.00401588,0.00396841,0.00387408,0.00375255,0.00370241,0.00365406,0.00360325,0.00357727,0.00343204,0.00327945,0.00310147,0.00287187,0.00263269,0.00249315,0.00244763,0.00244073,0.00240747,0.00250331,0.00255508,0.00270011,0.00289398,0.00305389,0.00315002,0.00309951,0.00298863,0.00294931,0.00292133,0.00292481
Hombres,35,0.00699354,0.00614515,0.0059288,0.00582096,0.0057032,0.00557956,0.00560644,0.00560427,0.00550878,0.0055141,0.00552038,0.00537064,0.00520651,0.0049157,0.00467173,0.00453042,0.00425993,0.00412406,0.0041343,0.00408739,0.00399259,0.00386983,0.00381856,0.00377228,0.00372171,0.00369462,0.00354668,0.00339258,0.00321082,0.00297569,0.00273005,0.00258538,0.00253791,0.00253155,0.00249597,0.0025919,0.00263879,0.0027844,0.00297633,0.00313421,0.00322736,0.00317399,0.00305817,0.00302094,0.00299686,0.00300864
Hombres,36,0.00723222,0.0063655,0.00613793,0.00602512,0.00589343,0.0057617,0.00578437,0.00577755,0.00567216,0.00567525,0.00567791,0.00552618,0.00535732,0.00506177,0.0048115,0.0046677,0.00439085,0.00425238,0.00426589,0.00421834,0.00412423,0.00399756,0.0039495,0.00390167,0.00385068,0.00382604,0.00367566,0.00351809,0.00333327,0.00309373,0.00283843,0.00268971,0.00264118,0.00263417,0.00259566,0.00269237,0.00273661,0.00287885,0.00306985,0.00322784,0.00331837,0.00326,0.00314003,0.00310347,0.00308532,0.00310526
Hombres,37,0.00748752,0.00660138,0.00636542,0.00624147,0.00610454,0.00596236,0.00597891,0.00596311,0.00585234,0.00585194,0.0058555,0.00569645,0.0055244,0.0052215,0.00496465,0.00482098,0.00453547,0.00439509,0.00441255,0.00436366,0.00426902,0.00414144,0.00409203,0.00404495,0.00399371,0.0039711,0.00381971,0.00365887,0.00347063,0.00322396,0.00296147,0.00280863,0.00275872,0.002752,0.00271058,0.00280774,0.00284709,0.00298855,0.00317895,0.00333537,0.00342369,0.00336012,0.00323612,0.00319971,0.00318738,0.00321628
Hombres,38,0.00776425,0.00686361,0.00661314,0.00648078,0.00633237,0.00618083,0.00618882,0.00617269,0.00604845,0.00604609,0.00604917,0.00588799,0.00571043,0.00539855,0.00513518,0.00498865,0.00469897,0.0045551,0.00457413,0.00452776,0.00442941,0.00429954,0.00425202,0.00420519,0.00415609,0.00413379,0.00397855,0.00381767,0.00362604,0.00337311,0.00310205,0.00294301,0.00289318,0.00288504,0.00284019,0.00293801,0.00297331,0.00311331,0.00330341,0.00345882,0.00354559,0.00347775,0.00334804,0.003313,0.00330571,0.00334343
